Country,Clicks,Impressions,CTR,Position
India,20,1573,1.27%,3.62
United States,0,29,0%,8.1
Australia,0,9,0%,2.56
United Kingdom,0,6,0%,3.67
Saudi Arabia,0,4,0%,1
Nepal,0,4,0%,10
Kuwait,0,3,0%,1.67
Nigeria,0,3,0%,2
Indonesia,0,3,0%,8.67
Netherlands,0,2,0%,1.5
Turkey,0,2,0%,3
Germany,0,2,0%,3.5
Kazakhstan,0,2,0%,5.5
Bangladesh,0,2,0%,9
Greece,0,1,0%,1
Norway,0,1,0%,2
New Zealand,0,1,0%,2
Pakistan,0,1,0%,2
Chile,0,1,0%,5
Mexico,0,1,0%,5
Ecuador,0,1,0%,9
Philippines,0,1,0%,9
Canada,0,1,0%,10
Vietnam,0,1,0%,10
Poland,0,1,0%,11
Benin,0,1,0%,12
Singapore,0,1,0%,12
Spain,0,1,0%,15
South Korea,0,1,0%,15
