point,longitude,latitude
1,75.875952,24.904651
2,75.875180,24.904495
3,75.873978,24.904106
4,75.872777,24.903716
5,75.871575,24.903249
6,75.870288,24.902471
7,75.868829,24.901614
8,75.868056,24.901069
9,75.867713,24.899980
10,75.867799,24.899123
11,75.866683,24.898423
12,75.866769,24.897410
13,75.865910,24.896632
14,75.865138,24.896476
15,75.864108,24.896009
16,75.862735,24.895931
17,75.861275,24.895931
18,75.859816,24.895931
19,75.858700,24.896320
20,75.857756,24.896865
21,75.856898,24.897021
22,75.857756,24.896710
23,75.858872,24.896087
24,75.860074,24.895698
25,75.861533,24.895698
26,75.862906,24.895775
27,75.864279,24.896165
28,75.865567,24.896632
29,75.866339,24.896476
30,75.866511,24.895386
31,75.867112,24.894218
32,75.868142,24.892895
33,75.869086,24.891883
34,75.869515,24.890948
35,75.869000,24.890326
36,75.869343,24.889625
